Model,Camera,Class,Confidence,Inference Time (ms)
Result 4,Cam 2,Robot,0.7577323913574219,14.221525998436846
Result 4,Cam 4,AED,0.9493930339813232,7.257075998495566
Result 4,Cam 4,Crowd,0.7407095432281494,7.257075998495566
Result 4,Cam 4,Crowd,0.7107585072517395,7.257075998495566
Result 4,Cam 4,Crowd,0.5460571646690369,7.257075998495566
Result 4,Cam 4,Patient,0.6988902688026428,7.257075998495566
Result 4,Cam 4,Robot,0.9788497090339661,7.257075998495566
Result 5,Cam 2,Crowd,0.6703445315361023,30.457828001090093
Result 5,Cam 2,Crowd,0.6536558270454407,30.457828001090093
Result 5,Cam 2,Crowd,0.6148324608802795,30.457828001090093
Result 5,Cam 2,Crowd,0.48613232374191284,30.457828001090093
Result 5,Cam 2,Crowd,0.2606322467327118,30.457828001090093
Result 5,Cam 2,Patient,0.8369483947753906,30.457828001090093
Result 5,Cam 2,Responder,0.5546092391014099,30.457828001090093
Result 5,Cam 2,Robot,0.9299030303955078,30.457828001090093
Result 5,Cam 4,AED,0.8913676142692566,7.256376997247571
Result 5,Cam 4,AED,0.25977271795272827,7.256376997247571
Result 5,Cam 4,Crowd,0.7554571032524109,7.256376997247571
Result 5,Cam 4,Crowd,0.6912065148353577,7.256376997247571
Result 5,Cam 4,Crowd,0.661597728729248,7.256376997247571
Result 5,Cam 4,Crowd,0.6530230045318604,7.256376997247571
Result 5,Cam 4,Crowd,0.3885398507118225,7.256376997247571
Result 5,Cam 4,Crowd,0.36626628041267395,7.256376997247571
Result 5,Cam 4,Crowd,0.26777973771095276,7.256376997247571
Result 5,Cam 4,Patient,0.8387908339500427,7.256376997247571
Result 5,Cam 4,Robot,0.9030603766441345,7.256376997247571
Result 6,Cam 2,Crowd,0.7394143342971802,71.80629700087593
Result 6,Cam 2,Crowd,0.5477527976036072,71.80629700087593
Result 6,Cam 2,Crowd,0.539976954460144,71.80629700087593
Result 6,Cam 2,Crowd,0.5292274951934814,71.80629700087593
Result 6,Cam 2,Crowd,0.39038729667663574,71.80629700087593
Result 6,Cam 2,Crowd,0.35914283990859985,71.80629700087593
Result 6,Cam 2,Crowd,0.33031317591667175,71.80629700087593
Result 6,Cam 2,Crowd,0.2931325137615204,71.80629700087593
Result 6,Cam 2,Crowd,0.2863757908344269,71.80629700087593
Result 6,Cam 2,Crowd,0.2614250183105469,71.80629700087593
Result 6,Cam 2,Patient,0.8969389200210571,71.80629700087593
Result 6,Cam 2,Responder,0.6526557803153992,71.80629700087593
Result 6,Cam 2,Responder,0.3215988576412201,71.80629700087593
Result 6,Cam 2,Robot,0.5446386337280273,71.80629700087593
Result 6,Cam 2,Robot,0.30853143334388733,71.80629700087593
Result 6,Cam 4,AED,0.5892496109008789,18.180891001975397
Result 6,Cam 4,Crowd,0.9038401246070862,18.180891001975397
Result 6,Cam 4,Crowd,0.8263231515884399,18.180891001975397
Result 6,Cam 4,Crowd,0.7867832779884338,18.180891001975397
Result 6,Cam 4,Crowd,0.7625159621238708,18.180891001975397
Result 6,Cam 4,Crowd,0.5906968712806702,18.180891001975397
Result 6,Cam 4,Crowd,0.5557729005813599,18.180891001975397
Result 6,Cam 4,Crowd,0.513480007648468,18.180891001975397
Result 6,Cam 4,Crowd,0.3963661193847656,18.180891001975397
Result 6,Cam 4,Crowd,0.34245964884757996,18.180891001975397
Result 6,Cam 4,Crowd,0.2804394066333771,18.180891001975397
Result 6,Cam 4,Crowd,0.26064741611480713,18.180891001975397
Result 6,Cam 4,Patient,0.7825321555137634,18.180891001975397
Result 6,Cam 4,Robot,0.8971021175384521,18.180891001975397
Result 7,Cam 2,Crowd,0.5894565582275391,24.861867001163773
Result 7,Cam 2,Crowd,0.49138084053993225,24.861867001163773
Result 7,Cam 2,Crowd,0.42260444164276123,24.861867001163773
Result 7,Cam 2,Crowd,0.37055519223213196,24.861867001163773
Result 7,Cam 2,Crowd,0.35408204793930054,24.861867001163773
Result 7,Cam 2,Crowd,0.2790885865688324,24.861867001163773
Result 7,Cam 2,Patient,0.691673755645752,24.861867001163773
Result 7,Cam 2,Responder,0.655105710029602,24.861867001163773
Result 7,Cam 2,Robot,0.7301055788993835,24.861867001163773
Result 7,Cam 2,Robot,0.615553081035614,24.861867001163773
Result 7,Cam 4,AED,0.8704531192779541,13.509800999599975
Result 7,Cam 4,Crowd,0.7704251408576965,13.509800999599975
Result 7,Cam 4,Crowd,0.7369995713233948,13.509800999599975
Result 7,Cam 4,Crowd,0.5476906299591064,13.509800999599975
Result 7,Cam 4,Crowd,0.41558194160461426,13.509800999599975
Result 7,Cam 4,Crowd,0.3995912969112396,13.509800999599975
Result 7,Cam 4,Crowd,0.278817355632782,13.509800999599975
Result 7,Cam 4,Crowd,0.2522396743297577,13.509800999599975
Result 7,Cam 4,Patient,0.5589991211891174,13.509800999599975
Result 7,Cam 4,Robot,0.7925245761871338,13.509800999599975
Result 8,Cam 2,Crowd,0.9129731059074402,23.89278600094258
Result 8,Cam 2,Crowd,0.8939935564994812,23.89278600094258
Result 8,Cam 2,Crowd,0.889761209487915,23.89278600094258
Result 8,Cam 2,Crowd,0.8508933782577515,23.89278600094258
Result 8,Cam 2,Crowd,0.6945835947990417,23.89278600094258
Result 8,Cam 2,Crowd,0.642124593257904,23.89278600094258
Result 8,Cam 2,Crowd,0.5592246651649475,23.89278600094258
Result 8,Cam 2,Crowd,0.5567544102668762,23.89278600094258
Result 8,Cam 2,Crowd,0.4754204750061035,23.89278600094258
Result 8,Cam 2,Crowd,0.43418505787849426,23.89278600094258
Result 8,Cam 2,Crowd,0.4294525384902954,23.89278600094258
Result 8,Cam 2,Crowd,0.3992275595664978,23.89278600094258
Result 8,Cam 2,Crowd,0.3446654975414276,23.89278600094258
Result 8,Cam 2,Crowd,0.3077816963195801,23.89278600094258
Result 8,Cam 2,Crowd,0.2937646508216858,23.89278600094258
Result 8,Cam 2,Patient,0.885728120803833,23.89278600094258
Result 8,Cam 2,Responder,0.764521598815918,23.89278600094258
Result 8,Cam 2,Responder,0.49060845375061035,23.89278600094258
Result 8,Cam 2,Robot,0.6532496213912964,23.89278600094258
Result 8,Cam 2,Robot,0.44211095571517944,23.89278600094258
Result 8,Cam 4,AED,0.9563989639282227,20.34309599912376
Result 8,Cam 4,Crowd,0.8669674396514893,20.34309599912376
Result 8,Cam 4,Crowd,0.7283734083175659,20.34309599912376
Result 8,Cam 4,Crowd,0.5947774648666382,20.34309599912376
Result 8,Cam 4,Crowd,0.4974801540374756,20.34309599912376
Result 8,Cam 4,Crowd,0.3804660141468048,20.34309599912376
Result 8,Cam 4,Crowd,0.3541315495967865,20.34309599912376
Result 8,Cam 4,Crowd,0.33183321356773376,20.34309599912376
Result 8,Cam 4,Crowd,0.28679198026657104,20.34309599912376
Result 8,Cam 4,Patient,0.5388769507408142,20.34309599912376
Result 8,Cam 4,Robot,0.9530248045921326,20.34309599912376
